,gene,SRR1222460,SRR1222455,SRR1222450,SRR1222448,SRR1222456
71993,TraesCS5D02G093700,68.8619,103.635,95.8099,145.8,88.0838
71995,TraesCS5D02G093900,327.072,345.769,301.262,371.629,268.353
71996,TraesCS5D02G094000,10.4625,14.8501,10.7373,20.5851,14.077
71997,TraesCS5D02G094100,11.2514,23.2664,13.3795,16.8946,6.69724
71999,TraesCS5D02G094300,242.054,25.7971,67.6368,200.276,149.627
72000,TraesCS5D02G094400,11.86,0.0,1.05751,5.40602,4.91283
72002,TraesCS5D02G094600,48.6791,74.372,42.4545,75.362,33.0564
72004,TraesCS5D02G094900,8.54108,2.0,4.0,1.0,4.78502
72005,TraesCS5D02G095000,8.0,4.06195,0.0,6.0,6.02355
72006,TraesCS5D02G095100,227.431,278.159,156.037,264.591,175.538
72007,TraesCS5D02G095200,50.9106,77.4355,29.3042,70.2468,116.011
72009,TraesCS5D02G095400,947.788,524.482,575.95,535.199,1145.13
72011,TraesCS5D02G095600,9.100944,8.99429,41.1417,22.57133,16.8093
72012,TraesCS5D02G095700,19.5324,41.3459,54.3862,57.2918,60.0551
72013,TraesCS5D02G095800,18.02465,45.45250226132,50.126000000000005,51.14680374856,59.4676
72014,TraesCS5D02G095900,112.076,28.2255,25.1006,36.4322,67.9641
72015,TraesCS5D02G096000,7.76746,8.02341,2.99923,18.0361,19.3386
72018,TraesCS5D02G096300,20.517,7.83811,19.6151,24.0,25.0837
72021,TraesCS5D02G096600,1.0,0.0,10.4692,5.14651,2.0
72024,TraesCS5D02G096900,23.682386,131.7663,159.01367,147.82151000000002,21.1788328
72025,TraesCS5D02G097000,57.0217,29.291,38.1835,42.0109,78.6132
72026,TraesCS5D02G097100,288.112,307.421,255.781,319.278,324.851
72027,TraesCS5D02G097200,60.915850000000006,421.279202,356.0038,436.1663,35.6432
72029,TraesCS5D02G097400,27.8806,17.7518,24.5996,20.8284,40.7928
72030,TraesCS5D02G097500,27.3951,25.4915,30.4023,26.5294,18.4269
72031,TraesCS5D02G097600,13.9994,16.2327,63.0046,117.525,20.6967
72032,TraesCS5D02G097700,78.452,92.5602,107.828,104.771,71.4433
72033,TraesCS5D02G097800,53.2069,73.6008,84.6086,100.816,53.7696
72034,TraesCS5D02G097900,22.442,43.5377,41.7339,61.4443,21.3574
72035,TraesCS5D02G098000,4.39555,6.63938,2.26935,5.38063,0.0
72036,TraesCS5D02G098100,7.12585,6.5054,3.37547,6.65605,11.0
72039,TraesCS5D02G098400,56.5873,47.0261,48.839,89.0387,44.1297
72040,TraesCS5D02G098500,0.0,8.83207,9.55026,14.9214,2.7487
72042,TraesCS5D02G098700,3.32142,4.20724,6.1578,5.92021,0.0
72043,TraesCS5D02G098800,5.21963,38.709950000000006,43.64451,31.2664,5.60935
72044,TraesCS5D02G098900,27.868224818585,106.957,105.281,128.85,16.3729
72045,TraesCS5D02G099000,7.54775,5.03738,4.27006,0.0,4.80379
72046,TraesCS5D02G099100,0.0,1.50448,3.0,11.0196,4.55842
72047,TraesCS5D02G099200,21.121100297079,36.518500539783005,40.4506000500112,39.928,20.9781
72049,TraesCS5D02G099500,51.5155,80.2937,72.1026,128.24,95.5317
72051,TraesCS5D02G099700,6.99767,8.54265,6.0,13.0,7.16701
72052,TraesCS5D02G099800,7.52474,10.1569,0.0,17.4116,2.98679
72053,TraesCS5D02G099900,5.036459,13.595807,14.074722,16.444237,15.0025
72054,TraesCS5D02G100000,25.8362,46.7856,58.2361,44.4605,20.5456
72055,TraesCS5D02G100100,139.803,97.8695,96.005,138.291,167.737
72056,TraesCS5D02G100200,10.58737,10.664,3.76892,14.25295,2.5
